Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
67,p000066.jpg,1727874939.4213,6.1396,-1.6061,0.5855,-11.8948,0.9178,-0.6414,0,1,0,C0;0;0;0;0;0,0.1
68,p000067.jpg,1727874940.4213,5.5019,-1.7303,0.6149,-9.2448,3.1019,-0.7704,0,1,0,C0;0;0;0;0;0,0.1
69,p000068.jpg,1727874941.4633,4.8131,-1.7639,0.6146,-4.6503,3.2581,-0.9084,0,1,0,C0;0;0;0;0;0,0.1
70,p000069.jpg,1727874942.4633,4.1325,-1.7966,0.6151,-3.4922,4.3174,-2.2967,0,1,0,C0;0;0;0;0;0,0.1
71,p000070.jpg,1727874943.4633,3.4852,-1.8084,0.6594,2.6027,4.7682,-2.8982,0,1,0,C0;0;0;0;0;0,0.1
72,p000071.jpg,1727874944.4633,2.9208,-1.6204,0.6545,4.8534,2.7033,-0.3097,0,1,0,C0;0;0;0;0;0,0.1
73,p000072.jpg,1727874945.5053,2.3776,-1.3653,0.6857,8.9289,1.2562,-3.1499,0,1,0,C0;0;0;0;0;0,0.1
74,p000073.jpg,1727874946.5053,2.1293,-0.8773,0.6784,8.0995,-0.7967,-1.4242,0,1,0,C0;0;0;0;0;0,0.1
75,p000074.jpg,1727874947.5053,1.9451,-0.4075,0.6734,11.0790,-0.0591,-1.6536,0,1,0,C0;0;0;0;0;0,0.1
76,p000075.jpg,1727874948.5463,2.0635,0.1334,0.6842,4.2633,0.2112,-3.1678,0,1,0,C0;0;0;0;0;0,0.1
77,p000076.jpg,1727874949.5463,2.1086,0.6482,0.6920,3.6686,-1.1266,1.2663,0,1,0,C0;0;0;0;0;0,0.1
78,p000077.jpg,1727874950.5463,2.3721,1.1192,0.7251,0.8870,-4.3947,1.2345,0,1,0,C0;0;0;0;0;0,0.1
79,p000078.jpg,1727874951.5483,2.8249,1.5047,0.7368,5.1080,0.1942,1.5588,0,1,0,C0;0;0;0;0;0,0.1
80,p000079.jpg,1727874952.5903,3.4367,1.6405,0.7210,5.7541,-1.6422,-1.7340,0,1,0,C0;0;0;0;0;0,0.1
81,p000080.jpg,1727874953.5903,4.0481,1.7741,0.7512,10.3413,-0.0678,0.4560,0,1,0,C0;0;0;0;0;0,0.1
82,p000081.jpg,1727874954.5903,4.5870,1.6284,0.7313,7.2279,2.4345,-1.0949,0,1,0,C0;0;0;0;0;0,0.1
83,p000082.jpg,1727874955.6323,4.9774,1.3679,0.7245,0.0878,0.0059,-1.4087,0,1,0,C0;0;0;0;0;0,0.1
84,p000083.jpg,1727874956.6313,5.1239,1.0098,0.7185,1.6149,1.5321,-2.4085,0,1,0,C0;0;0;0;0;0,0.1
85,p000084.jpg,1727874957.6733,5.3753,0.6484,0.7042,-1.6418,1.7663,-1.8595,0,1,0,C0;0;0;0;0;0,0.1
86,p000085.jpg,1727874958.6733,5.5679,0.2281,0.7075,-0.3150,1.3127,-3.6915,0,1,0,C0;0;0;0;0;0,0.1
87,p000086.jpg,1727874959.7153,5.6027,-0.2436,0.6674,-0.6393,0.3024,-2.9940,0,1,0,C0;0;0;0;0;0,0.1
88,p000087.jpg,1727874960.7153,5.7076,-0.6760,0.6654,-4.8740,-0.6250,-4.2502,0,1,0,C0;0;0;0;0;0,0.1
89,p000088.jpg,1727874961.7153,5.8690,-1.1178,0.6529,-3.3467,1.6466,-3.0839,0,1,0,C0;0;0;0;0;0,0.1
90,p000089.jpg,1727874962.7153,6.2211,-1.4549,0.6302,-4.0186,0.6056,-1.8617,0,1,0,C0;0;0;0;0;0,0.1
91,p000090.jpg,1727874963.7563,6.6763,-1.7296,0.6372,-5.6290,-1.1541,-1.0674,0,1,0,C0;0;0;0;0;0,0.1
92,p000091.jpg,1727874964.7563,7.2104,-1.6496,0.6011,-3.5018,-0.6854,-0.8518,0,1,0,C0;0;0;0;0;0,0.1
93,p000092.jpg,1727874965.7563,7.8312,-1.5407,0.5833,-0.2280,-0.4307,-2.5160,0,1,0,C0;0;0;0;0;0,0.1
94,p000093.jpg,1727874966.7563,8.4582,-1.2429,0.5692,1.1442,-0.7271,-3.3444,0,1,0,C0;0;0;0;0;0,0.1
95,p000094.jpg,1727874967.7983,9.1223,-1.0175,0.5935,-1.0898,-2.0076,-1.3578,0,1,0,C0;0;0;0;0;0,0.1
96,p000095.jpg,1727874968.7983,9.8904,-0.8356,0.6522,-2.1146,-1.6132,-3.0354,0,1,0,C0;0;0;0;0;0,0.1
97,p000096.jpg,1727874969.7983,10.5653,-0.5769,0.6370,-3.2433,0.2237,0.7762,0,1,0,C0;0;0;0;0;0,0.1
98,p000097.jpg,1727874970.8403,11.2387,-0.2756,0.6323,-9.9331,-0.0484,-3.1535,0,1,0,C0;0;0;0;0;0,0.1
99,p000098.jpg,1727874971.8403,11.7812,0.1730,0.6489,-14.1273,-0.0809,-1.1984,0,1,0,C0;0;0;0;0;0,0.1
